[2025-07-27 11:03:26,538] 16 root - INFO -Initate the data ingestion
[2025-07-27 11:03:33,829] 67 root - INFO -Performed train test split
[2025-07-27 11:03:33,829] 68 root - INFO -Exited the train_test method
[2025-07-27 11:03:33,830] 73 root - INFO -Exporting train anf test file path
[2025-07-27 11:03:33,922] 77 root - INFO -Made dir for train & test set
[2025-07-27 11:03:33,926] 18 root - INFO -data initiating completed
[2025-07-27 11:03:33,931] 24 root - INFO -INITIATING DATA VALIDATION
[2025-07-27 11:03:34,008] 39 root - INFO -required number of culmns: 2
[2025-07-27 11:03:34,009] 40 root - INFO -Data Frame has columns :32
[2025-07-27 11:03:34,009] 39 root - INFO -required number of culmns: 2
[2025-07-27 11:03:34,010] 40 root - INFO -Data Frame has columns :32
[2025-07-27 11:03:34,228] 26 root - INFO -DATA VALIDATION COMPLETED
[2025-07-27 11:03:34,228] 32 root - INFO -INITIATING DATA TRANSFORMATION
[2025-07-27 11:03:34,228] 45 root - INFO -startung data transofmration
[2025-07-27 11:03:34,270] 33 root - INFO -Enteretd get data trasnformation obj
