[2025-07-28 12:31:22,241] 74 dagshub.auth.tokens - INFO -Removed expired tokens from the token cache
[2025-07-28 12:31:28,768] 1025 httpx - INFO -HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-07-28 12:31:29,166] 1025 httpx - INFO -HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-07-28 12:31:29,537] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-07-28 12:31:29,546] 107 dagshub - INFO -Accessing as eshaannanda04
[2025-07-28 12:31:29,930] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/eshaannanda04/networkSecurity "HTTP/1.1 200 OK"
[2025-07-28 12:31:30,333] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-07-28 12:31:30,340] 107 dagshub - INFO -Initialized MLflow to track repo "eshaannanda04/networkSecurity"
[2025-07-28 12:31:30,342] 107 dagshub - INFO -Repository eshaannanda04/networkSecurity initialized!
[2025-07-28 12:31:45,728] 42 root - INFO -start data ingestion
[2025-07-28 12:31:52,910] 67 root - INFO -Performed train test split
[2025-07-28 12:31:52,910] 68 root - INFO -Exited the train_test method
[2025-07-28 12:31:52,910] 73 root - INFO -Exporting train anf test file path
[2025-07-28 12:31:52,987] 77 root - INFO -Made dir for train & test set
[2025-07-28 12:31:52,988] 45 root - INFO -Data INgestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\07_28_2025_12_31_19\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\07_28_2025_12_31_19\\data_ingestion\\ingested\\test.csv')
[2025-07-28 12:31:53,021] 56 root - INFO -Initiate the data Validation
[2025-07-28 12:31:53,096] 39 root - INFO -required number of culmns: 2
[2025-07-28 12:31:53,097] 40 root - INFO -Data Frame has columns :31
[2025-07-28 12:31:53,097] 39 root - INFO -required number of culmns: 2
[2025-07-28 12:31:53,097] 40 root - INFO -Data Frame has columns :31
[2025-07-28 12:31:53,293] 45 root - INFO -startung data transofmration
[2025-07-28 12:31:53,328] 33 root - INFO -Enteretd get data trasnformation obj
[2025-07-28 12:31:53,342] 47 root - INFO -Entered the save_object method of MainUtils class
[2025-07-28 12:31:53,345] 51 root - INFO -Exited the save_object method of MainUtils class
[2025-07-28 12:31:53,345] 47 root - INFO -Entered the save_object method of MainUtils class
[2025-07-28 12:31:53,348] 51 root - INFO -Exited the save_object method of MainUtils class
